year,epsilon,parameter,n_members,minimum,q25,median,q75,maximum,normalized_iqr
2021,0.1,Coal_Retrofitted_Min_Power_0-300,3420,0.3003677740558306,0.422242176273447,0.5360124039130121,0.6449950889486438,0.7499917549648447,0.4950064726115484
2021,0.1,Coal_Retrofitted_Time_0-300,3420,2.0007729833430385,3.177415584715999,4.198463093494805,5.111942133588438,5.997355201070633,0.48363163721810976
2021,0.1,CHP_NonRetrofitted_Min_Power_300-660,3420,0.30056145647989096,0.4355938168426122,0.5276189398545754,0.6484456510327329,0.7498314130818219,0.47300407597804595
2021,0.1,CHP_NonRetrofitted_Min_Power_0-300,3420,0.3000607494553787,0.41624042359284724,0.5298245251347786,0.6388442582589947,0.7499159703518181,0.4946751881469944
2021,0.1,MLT_Band,3420,0.050014093180034094,0.06506904565257421,0.08046855087048424,0.09826333315407651,0.167182316348027,0.09484082143286371
2021,0.2,Coal_Retrofitted_Min_Power_300-660,7041,0.30000948453101184,0.42666649266725304,0.5415034212029468,0.6474039978894854,0.7499631116372363,0.4905277893827387
2021,0.2,Coal_Retrofitted_Min_Power_0-300,7041,0.3001442865073928,0.4131925664522937,0.5263805663442017,0.6385345374724671,0.7499917549648447,0.5007599356003855
2021,0.2,Coal_Retrofitted_Time_0-300,7041,2.0007729833430385,3.063673458104127,4.086335786579049,5.052206654049444,5.999959532915463,0.4971332989863292
2021,0.2,CHP_NonRetrofitted_Min_Power_300-660,7041,0.3001606041003815,0.42798086996740803,0.535747003632528,0.6477365283840442,0.7498625901343318,0.4883459075925248
2021,0.2,CHP_NonRetrofitted_Min_Power_0-300,7041,0.30000709703399464,0.4161862270909059,0.5310359206754578,0.6426120627494476,0.749973616703468,0.5031685236856482
2021,0.2,MLT_Band,7041,0.050014093180034094,0.08081086920083216,0.11161015064615334,0.14274996801264989,0.24863621900770427,0.17696885374805063
2021,0.3,Coal_Retrofitted_Min_Power_300-660,9676,0.30000948453101184,0.4224124988677712,0.5377271429839099,0.6462853648655291,0.7499631116372363,0.4974952577727954
2021,0.3,Coal_Retrofitted_Min_Power_0-300,9676,0.3000634491201269,0.4116392196070632,0.5234840709539503,0.6370995880432764,0.7499917549648447,0.5010230409693627
2021,0.3,Coal_Retrofitted_Time_0-300,9676,2.0002725638773766,3.015470167514992,4.009421686840529,5.0110927280021205,5.999959532915463,0.49890564012178207
2021,0.3,CHP_NonRetrofitted_Min_Power_300-660,9676,0.3001606041003815,0.43010219788680515,0.5420125652994383,0.6486047213855313,0.7499190713347788,0.48556116333050253
2021,0.3,CHP_NonRetrofitted_Min_Power_0-300,9676,0.30000709703399464,0.4191376197954616,0.5356271338751177,0.6442666822320017,0.749973616703468,0.5002868054145335
2021,0.3,MLT_Band,9676,0.050014093180034094,0.09233360025409366,0.1346660544374937,0.17711459853927813,0.3115569050014521,0.2422314236719556
