year,parameter,fold,log_length_scale,length_scale,upper_bound,hit_threshold,hit_upper_bound,total_hits,retained
2021,Coal_Retrofitted_Time_300-660,2,3.9999999999904556,54.59815003262313,54.598150033144236,49.40244910553017,true,5,false
2021,Coal_Retrofitted_Min_Power_0-300,2,3.9999999999861067,54.59815003238569,54.598150033144236,49.40244910553017,true,3,true
2021,Coal_Retrofitted_Time_0-300,2,3.1272929015712094,22.812141167409823,54.598150033144236,49.40244910553017,false,2,true
2021,CHP_NonRetrofitted_Min_Power_660-1000,2,3.999999999983453,54.598150032240795,54.598150033144236,49.40244910553017,true,5,false
2021,CHP_NonRetrofitted_Time_660-1000,2,3.99999999999352,54.598150032790436,54.598150033144236,49.40244910553017,true,5,false
2021,CHP_NonRetrofitted_Min_Power_300-660,2,2.5106465159471445,12.312887966202307,54.598150033144236,49.40244910553017,false,0,true
2021,CHP_NonRetrofitted_Time_300-660,2,3.9999999999911258,54.598150032659724,54.598150033144236,49.40244910553017,true,4,false
2021,CHP_NonRetrofitted_Min_Power_0-300,2,2.489096681693971,12.050385868353608,54.598150033144236,49.40244910553017,false,0,true
2021,CHP_NonRetrofitted_Time_0-300,2,3.9999999999931806,54.59815003277191,54.598150033144236,49.40244910553017,true,5,false
2021,MLT_Band,2,1.0561838256007152,2.8753770848623335,54.598150033144236,49.40244910553017,false,0,true
2021,Coal_Retrofitted_Min_Power_660-1000,3,3.9999999999999996,54.598150033144215,54.598150033144236,49.40244910553017,true,4,false
2021,Coal_Retrofitted_Time_660-1000,3,3.9999999999999996,54.598150033144215,54.598150033144236,49.40244910553017,true,5,false
2021,Coal_Retrofitted_Min_Power_300-660,3,2.4863593477377686,12.017445043518794,54.598150033144236,49.40244910553017,false,0,true
2021,Coal_Retrofitted_Time_300-660,3,3.9999999999999996,54.598150033144215,54.598150033144236,49.40244910553017,true,5,false
2021,Coal_Retrofitted_Min_Power_0-300,3,2.735070978914399,15.410837241607684,54.598150033144236,49.40244910553017,false,3,true
2021,Coal_Retrofitted_Time_0-300,3,2.8636880123946153,17.52604416138616,54.598150033144236,49.40244910553017,false,2,true
2021,CHP_NonRetrofitted_Min_Power_660-1000,3,3.9999999999999996,54.598150033144215,54.598150033144236,49.40244910553017,true,5,false
2021,CHP_NonRetrofitted_Time_660-1000,3,3.9999999999999996,54.598150033144215,54.598150033144236,49.40244910553017,true,5,false
2021,CHP_NonRetrofitted_Min_Power_300-660,3,2.488597256851571,12.044369108875085,54.598150033144236,49.40244910553017,false,0,true
2021,CHP_NonRetrofitted_Time_300-660,3,3.620106887153634,37.34155894169768,54.598150033144236,49.40244910553017,false,4,false
2021,CHP_NonRetrofitted_Min_Power_0-300,3,2.5027390371013443,12.215908003910522,54.598150033144236,49.40244910553017,false,0,true
2021,CHP_NonRetrofitted_Time_0-300,3,3.9999999999999996,54.598150033144215,54.598150033144236,49.40244910553017,true,5,false
2021,MLT_Band,3,0.9860042737018496,2.6805024913018025,54.598150033144236,49.40244910553017,false,0,true
2021,Coal_Retrofitted_Min_Power_660-1000,4,3.4104418738829203,30.278620635516493,54.598150033144236,49.40244910553017,false,4,false
2021,Coal_Retrofitted_Time_660-1000,4,3.9999999999998446,54.59815003313575,54.598150033144236,49.40244910553017,true,5,false
2021,Coal_Retrofitted_Min_Power_300-660,4,2.3739993795444603,10.740260882749054,54.598150033144236,49.40244910553017,false,0,true
2021,Coal_Retrofitted_Time_300-660,4,3.9999999999999036,54.59815003313898,54.598150033144236,49.40244910553017,true,5,false
2021,Coal_Retrofitted_Min_Power_0-300,4,3.9999999999997766,54.59815003313204,54.598150033144236,49.40244910553017,true,3,true
2021,Coal_Retrofitted_Time_0-300,4,3.9999999999997717,54.59815003313177,54.598150033144236,49.40244910553017,true,2,true
2021,CHP_NonRetrofitted_Min_Power_660-1000,4,3.9222538811415686,50.514169502940526,54.598150033144236,49.40244910553017,true,5,false
2021,CHP_NonRetrofitted_Time_660-1000,4,3.9999999999998863,54.59815003313803,54.598150033144236,49.40244910553017,true,5,false
