run_id,Coal_Retrofitted_Min_Power_660-1000,Coal_Retrofitted_Time_660-1000,Coal_Retrofitted_Min_Power_300-660,Coal_Retrofitted_Time_300-660,Coal_Retrofitted_Min_Power_0-300,Coal_Retrofitted_Time_0-300,CHP_NonRetrofitted_Min_Power_660-1000,CHP_NonRetrofitted_Time_660-1000,CHP_NonRetrofitted_Min_Power_300-660,CHP_NonRetrofitted_Time_300-660,CHP_NonRetrofitted_Min_Power_0-300,CHP_NonRetrofitted_Time_0-300,MLT_Band,Description,Classification
86,0.377,4.037,0.515,4.41,0.505,3.754,0.473,12.364,0.307,4.871,0.476,7.195,0.097,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
87,0.525,5.422,0.315,6.756,0.625,3.097,0.575,13.266,0.706,13.593,0.463,4.464,0.193,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
88,0.668,7.896,0.459,4.123,0.7,5.952,0.586,10.142,0.604,14.019,0.351,9.548,0.094,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
89,0.538,7.222,0.481,7.896,0.664,5.422,0.622,12.69,0.432,13.366,0.321,9.007,0.384,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
90,0.566,4.812,0.73,6.847,0.379,3.041,0.681,14.185,0.62,8.164,0.661,11.951,0.157,"High_MP, Low_Time, Loose_MLT",Partially More Flexible
91,0.714,7.929,0.538,5.601,0.31,2.708,0.637,4.494,0.676,8.425,0.343,7.74,0.329,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
92,0.518,7.683,0.418,5.074,0.604,2.66,0.489,15.63,0.347,10.85,0.492,11.259,0.171,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
93,0.344,5.603,0.385,5.312,0.385,3.572,0.47,11.932,0.701,5.928,0.461,7.36,0.364,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
94,0.651,7.129,0.408,4.692,0.629,5.681,0.324,10.256,0.391,7.197,0.471,11.782,0.057,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
95,0.487,4.96,0.5,5.259,0.372,4.149,0.66,9.411,0.564,11.761,0.443,4.247,0.119,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
96,0.336,7.484,0.653,5.373,0.319,3.158,0.498,6.22,0.637,15.219,0.639,10.427,0.132,"High_MP, Low_Time, Tight_MLT",Partially More Flexible
97,0.732,4.111,0.602,6.355,0.302,2.398,0.404,8.539,0.397,11.374,0.544,8.245,0.124,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
98,0.618,4.717,0.522,7.601,0.444,2.049,0.596,7.905,0.698,15.446,0.588,8.825,0.196,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
99,0.585,7.541,0.325,6.225,0.667,4.709,0.537,12.502,0.658,9.965,0.418,7.852,0.129,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
100,0.63,5.724,0.343,5.018,0.6,4.614,0.408,10.823,0.669,4.04,0.746,10.269,0.183,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
