CHP_NonRetrofitted_Min_Power_300-660,CHP_NonRetrofitted_Min_Power_0-300,MLT_Band,predicted_loss,predicted_loss_lo95_lat,predicted_loss_hi95_lat,sigma_latent_std,sigma_predictive_std,in_S_0p05,in_S_0p1,in_S_0p2,in_S_0p3
0.5635410214850247,0.6902968209649875,0.29395011696631285,0.017804794536160143,0.017711787624158384,0.0178978014481619,0.015484440165953534,0.030510112531480355,false,false,false,false
0.34661437175107973,0.5961793118985694,0.34071114853840384,0.020980065853560492,0.02086077087461787,0.021099360832503113,0.019861061116627422,0.032947850128786996,false,false,false,false
0.558158156786244,0.6875358724473343,0.2272346132485457,0.01636143139123849,0.016286572102687465,0.01643629067978951,0.012463097091237968,0.029093433426397506,false,false,false,false
0.42391739557054153,0.526015522241534,0.1416530163066799,0.015083634044532265,0.014986418899877832,0.015180849189186697,0.016185056123544952,0.03087159084259992,false,false,false,false
0.6228946582153176,0.30277310019383546,0.39932804937432,0.022057982209729234,0.021775573530715006,0.022340390888743462,0.04701736890758256,0.053867727429531595,false,false,false,false
0.4208450316320125,0.6246294826494535,0.05084718602651169,0.011828775151855219,0.01168504281681772,0.011972507486892716,0.023929562802373423,0.03554888261736694,false,false,true,true
0.6245728049076593,0.5182963527133873,0.20126221142183082,0.016014700170471314,0.01594033930253416,0.01608906103840847,0.012380116547031082,0.029057982812794703,false,false,false,false
0.5623845916536037,0.3175668832596212,0.2386652083711256,0.018530738834352516,0.01844024340648563,0.0186212342622194,0.015066310749792904,0.030300046188742432,false,false,false,false
0.455371651787618,0.47352332774649686,0.3657558334932095,0.021250491663647966,0.02117842259841616,0.021322560728879777,0.011998561229267091,0.02889748347180202,false,false,false,false
0.7200055644419396,0.48157697130471566,0.22585750667317,0.016472426871625392,0.016372603430101582,0.0165722503131492,0.016619303599777018,0.031101452242172884,false,false,false,false
0.378319025973313,0.6045430741978391,0.3760424114919911,0.02151758729196797,0.021394317090779026,0.021640857493156907,0.02052288387468561,0.033350979625258834,false,false,false,false
0.7124348650283134,0.36585838257437564,0.14883899221507135,0.01497668125243159,0.014868837021604976,0.015084525483258204,0.01795466061109939,0.03183502657593305,false,false,false,false
0.6166264030242892,0.4181610557118868,0.21809039771237193,0.0170973289179354,0.01703100177312617,0.01716365606274463,0.011042606222187104,0.028513825271416757,false,false,false,false
0.7205836877201329,0.4184238185389986,0.07281179398296563,0.01227350702650556,0.012129401570290249,0.012417612482720868,0.023991682621515187,0.03559072792796058,false,false,true,true
0.4943648894279268,0.6253937481526453,0.16312872922689237,0.015178272286849245,0.015096995000535546,0.015259549573162945,0.01353161017486259,0.02956693344523649,false,false,false,false
0.7320121241643582,0.4662581904980775,0.2639272347126521,0.017457529519174366,0.01732497177995552,0.017590087258393217,0.022069138059648028,0.03432413049337746,false,false,false,false
0.31558615094416065,0.4188398995851266,0.20331254359520406,0.017948403153240772,0.017818731126582846,0.018078075179898696,0.021588704481927012,0.03401721976644439,false,false,false,false
0.36756852510554816,0.5860639573052485,0.1920671545912061,0.016899682605632085,0.016806129952886707,0.01699323525837746,0.015575298895792029,0.03055632528829113,false,false,false,false
0.4005397097945109,0.5077089424037368,0.2736297516085715,0.019275853667773464,0.019206486326731897,0.01934522100881503,0.01154875932026576,0.02871363650372458,false,false,false,false
0.5949517299250784,0.383840104417044,0.052971076304364255,0.012013372625644583,0.011857429274614742,0.012169315976674422,0.025962538012810933,0.03694796962618179,false,false,true,true
0.3031806640508261,0.7310084183143095,0.200609109363935,0.017086612135847022,0.016956020595225003,0.017217203676469044,0.02174179158752332,0.034114580180120924,false,false,false,false
0.4913799624564066,0.574428366480875,0.36638172277913794,0.020443607594695132,0.02037488437059979,0.02051233081879048,0.011441522233268438,0.028670673351788852,false,false,false,false
0.5383005014851463,0.4275211824048423,0.16562518893165126,0.01571738012693442,0.015636459072287036,0.015798301181581806,0.013472302239532172,0.029539837627581892,false,false,false,false
0.671289876444036,0.6021427196896869,0.2163037516168162,0.01569498237369417,0.015616821584369006,0.015773143163019334,0.013012753994093414,0.029333101539751872,false,false,false,false
0.46650725533464976,0.3655890420950203,0.3600356212779985,0.02171039268133602,0.021623176652582787,0.021797608710089254,0.014520333485708973,0.030032302009116798,false,false,false,false
0.3564452260180229,0.3210930014440676,0.11068078069044274,0.014850517613004221,0.014661483042556621,0.015039552183451821,0.03147179529342081,0.041006986946392245,false,false,false,false
0.7253121071998561,0.3866191785805727,0.20479413343649067,0.016556992260618145,0.0164457525797714,0.016668231941464894,0.018519958840463896,0.03215723798591969,false,false,false,false
0.44930818179932885,0.6458745473601075,0.22840335007894874,0.017344663683998337,0.01726968531651501,0.01741964205148167,0.012482922183402086,0.029101931648388417,false,false,false,false
0.3672460346324896,0.520190810335316,0.33112107953912323,0.020879011573206787,0.020797454358194085,0.02096056878821949,0.013578214659380042,0.029588291481036928,false,false,false,false
0.5511539515444599,0.32376282226372666,0.1821841576686543,0.016708741656291666,0.01660500707756117,0.016812476235022158,0.01727045703293895,0.031454216975744125,false,false,false,false
0.6811733638027356,0.38514430528053145,0.37244319870226766,0.020528023077390732,0.02038975840610236,0.020666287748679107,0.02301926796139122,0.03494260689915581,false,false,false,false
0.691076668382506,0.5848832461314749,0.2394302999567387,0.016236592182634013,0.016143011439376156,0.01633017292589187,0.01557997560046229,0.030558709382786438,false,false,false,false
0.383354619716704,0.7357559892696648,0.27681799886470404,0.018769917018087307,0.01866846325174126,0.01887137078443335,0.016890731460541895,0.031247334105531935,false,false,false,false
0.598365858007318,0.58422389363748,0.20917341519531762,0.016053140888338025,0.015980596148969378,0.01612568562770667,0.012077754781141868,0.028930455232920115,false,false,false,false
0.4481756650942688,0.3176285561811499,0.3936619981698033,0.022897676974168404,0.02277865283852744,0.02301670110980937,0.019815969232501826,0.032920688268231246,false,false,false,false
0.7346110716489178,0.457642047108777,0.3755705655604344,0.019589535866074877,0.019424827811744833,0.01975424392040492,0.027421747021080838,0.037987514911069865,false,false,false,false
0.6947514442760216,0.4306983235907106,0.19972095682077257,0.01619909661514867,0.016124148719499423,0.016274044510797916,0.012477849019683029,0.029099755936925042,false,false,false,false
0.6013104441189809,0.4189026149586641,0.1960131563807877,0.01648896936627446,0.01641952191862735,0.016558416813921572,0.011562096027331133,0.02871900318562303,false,false,false,false
0.7058852683803116,0.44457455560754633,0.056837754736025384,0.011706604260436515,0.011528489094508994,0.011884719426364036,0.029653856580050625,0.03962890724585793,false,false,true,true
0.34054635340914774,0.5530715743705502,0.300146748491197,0.020152712400256317,0.02006478328895935,0.02024064151155329,0.014639052446958695,0.03008988095648447,false,false,false,false
0.5253584736789972,0.47153483897975224,0.19053935696466479,0.01641201385370522,0.01633624242580623,0.01648778528160421,0.012614956419245055,0.02915881007328748,false,false,false,false
0.5967922669978133,0.6178779008785842,0.29012811483144046,0.017789982292720795,0.017714163448348277,0.017865801137093313,0.012622850644861653,0.029162226215312913,false,false,false,false
0.3565144776845205,0.4523291780067851,0.14690079990814803,0.015744102341690023,0.015631950356344515,0.015856254327035527,0.01867184566392792,0.03224495154172422,false,false,false,false
0.40399233989486294,0.3217092707455315,0.11437535286446282,0.014817974837817754,0.014658587555884832,0.014977362119750676,0.02653590767810465,0.03735309191662041,false,false,false,false
0.505764476256808,0.6401472749759097,0.13730558763772815,0.014223188239709054,0.014138029180967522,0.014308347298450586,0.014177874754590506,0.029868230814486724,false,false,false,false
0.6936180574532749,0.366221448630521,0.23003263278800362,0.01751923008031063,0.017416184653682023,0.017622275506939237,0.017155722178752043,0.03139136637524917,false,false,false,false
0.32622618847791635,0.5491697414658844,0.05502132427471112,0.012427630763318402,0.012281334249210333,0.01257392727742647,0.02435646523939114,0.035837640524848564,false,false,true,true
0.6101895140551161,0.5261495739474833,0.26720988936809303,0.0177342864719921,0.01766221571018969,0.01780635723379451,0.01199884368618732,0.028897600752245105,false,false,false,false
0.697970812008979,0.43870338927041375,0.1363083061431773,0.014191442818281629,0.014107112220869715,0.014275773415693544,0.014039946727391634,0.02980300628357137,false,false,false,false
0.5632627874469303,0.6042310528490447,0.23728548167754066,0.016922024899519772,0.0168529573821326,0.016991092416906942,0.011498842584649806,0.028693596153447815,false,false,false,false
0.6460000466902236,0.3568467480690803,0.23453129685017743,0.01786636270116264,0.01778059852369651,0.017952126878628766,0.014278619145331376,0.02991618364912248,false,false,false,false
0.5928608430460851,0.6761546564743162,0.14907527836932055,0.013965417924578515,0.01389577453822426,0.014035061310932769,0.011594717271512388,0.028732151817030815,false,false,false,false
0.5714703133713656,0.30155442051828835,0.13756084537554014,0.015207219651981041,0.015080704083626842,0.015333735220335239,0.02106319526235992,0.03368615849411893,false,false,false,false
0.4163606597099574,0.6640836773443732,0.08273620644529839,0.01277388063987873,0.01266520421660953,0.012882557063147929,0.018093209820039265,0.0319133721349306,false,false,false,true
0.563392169490168,0.3607109809595601,0.1265193312576302,0.01456972194520531,0.014481892177294979,0.014657551713115644,0.014622513066248316,0.030081837839520415,false,false,false,false
0.3225746007260835,0.7403737947844471,0.09671060384637248,0.01343682194490625,0.013262749078173616,0.013610894811638886,0.02898086638320481,0.03912786341920256,false,false,false,true
0.6933882015114204,0.36487640006723177,0.2602338996113926,0.018348026219592133,0.018235222680029497,0.018460829759154772,0.018780320959719366,0.032307886572486816,false,false,false,false
0.5822358211931983,0.4331096029400944,0.36404754372890635,0.020562129274575226,0.020471051252300004,0.020653207296850447,0.01516330513507831,0.030348392083438158,false,false,false,false
0.4538675991879799,0.549921718455062,0.08174042471221799,0.012840452358592078,0.012750776183600194,0.012930128533583963,0.014929915810419943,0.03023245715347707,false,false,false,true
0.4058198818924519,0.6653525688362731,0.15592879715285624,0.01531570591626045,0.015219504904619346,0.015411906927901554,0.016016216177918947,0.030783408844512854,false,false,false,false
0.587648584414987,0.34846540992320374,0.28336761594722176,0.01945954690893212,0.019375357597108973,0.01954373622075527,0.01401642451599381,0.029791932391893476,false,false,false,false
0.5959713959913688,0.6900327069251957,0.07263112617132925,0.011624562035449225,0.011522248069485106,0.011726876001413342,0.017033943499627544,0.03132497901961154,false,false,true,true
0.7068967518416398,0.6174991016709039,0.1797379444508142,0.014459910966088757,0.01437762825809821,0.014542193674079303,0.013698999796360684,0.029643914634394856,false,false,false,false
