Chinese_Name,Start_Year,Retired_Year,region,major_area,Retrofitted,Resource,technology,Captive_industry_use,captive,cluster,R_ID,Zone,STOR,SOLAR,BIOPOWER,COAL,GEOTHERMAL,WIND,GAS,LHYDRO,SHYDRO,HYDRO,NUCLEAR,NONDISP,RENEW,OTHER,Commit,Existing_Cap_MW,num_units,Cap_Size,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Existing_Cap_MWh,CHP,Dummy,Dummy_tech
亿斯特能源公司 吉林市东关热电厂,2003,,JL,Jilin,0,Jilin Dongguan power station,cogen_conventional_steam_coal,,0,1,46,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,12.18,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 国电吉林龙华延吉热电厂,2010,,JL,Yanbian,0,Longhua Yanji power station Unit 1,cogen_conventional_steam_coal,,0,1,47,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,200,1,200,1.78,117,13.7,11.31,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 伊品能源热电联产,2019,,HL,Yichun,0,Yipin Captive power station Unit 1,cogen_conventional_steam_coal,both,1,1,48,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,35,1,35,1.78,117,13.7,10.33,HL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 公主岭隆盛热电,2017,,JL,Siping,0,Longsheng Cogen power station Unit 1,cogen_conventional_steam_coal,,0,1,49,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,30,1,30,1.78,117,13.7,10.44,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
Datang Suihua power station 大唐绥化热电厂,2017,,HL,Suihua,0,Suihua power station Unit 1,cogen_conventional_steam_coal,,0,1,50,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,350,1,350,1.78,117,13.7,9.25,HL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
Datang Suihua power station 大唐绥化热电厂,2017,,HL,Suihua,0,Suihua power station Unit 2,cogen_conventional_steam_coal,,0,1,51,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,350,1,350,1.78,117,13.7,9.25,HL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 华电沈阳苏家屯金山热电,2010,,LN,Shenyang,0,Sujiatun Jinshan power station Unit 1,cogen_conventional_steam_coal,,0,1,52,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,220,1,220,1.78,117,13.7,11.31,LN_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 华电沈阳苏家屯金山热电,2010,,LN,Shenyang,0,Sujiatun Jinshan power station Unit 2,cogen_conventional_steam_coal,,0,1,53,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,220,1,220,1.78,117,13.7,11.31,LN_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
铁力宇祥热电公司城区热电联产集中供热热源建设项目 铁力宇祥热电项目,2020,,HL,Yichun,0,Tieli Yuxiang Cogen power station,cogen_conventional_steam_coal,,0,1,54,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,56,1,56,1.78,117,13.7,10.33,HL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"通辽盛发热电 (Unit 6 & 7), 通辽发电总厂热电厂六期扩建工程项目 (Unit 6 & 7), 内蒙公司通辽电投发电公司2×350兆瓦智慧热电联产机组项目 (Unit 8 & 9) 国家电投内蒙能源通辽发电总厂",1985,,IME,Tongliao,0,Tongliao power station Unit 1,cogen_conventional_steam_coal,,0,1,55,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,200,1,200,1.78,117,13.7,12.62,IME_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
