HL_to_IME,HL_to_JL,IME_to_JL,IME_to_LN,JL_to_LN,IME_to_SD,LN_to_JB,
815.1839427,1922.05375,-2613.578571,5438.991111,2107.543333,2819.57,2885.2175,
815.1839427,1535.477143,-2613.578571,5438.991111,2107.543333,2824.45,2501.3375,
731.1967382,1563.831429,-2377.338889,5463.606667,2117.084444,2817.73,2099.231667,
731.1967382,1563.831429,-2377.338889,5463.606667,2117.084444,2742.34,1987.361667,
731.1967382,1563.831429,-2377.338889,5463.606667,2117.084444,2631.73,1862.701667,
731.1967382,1563.831429,-2377.338889,5463.606667,2117.084444,2572.86,1824.481667,
731.1967382,1563.831429,-2377.338889,5463.606667,2117.084444,2556.72,1767.771667,
818.6589121,1563.831429,-2625.757143,5780.33625,2239.81125,2593.25,1815.981667,
856.6013871,1929.965,-2676.41875,5780.33625,2239.81125,2723.2,2119.161667,
856.6013871,1929.965,-2676.41875,5780.33625,2239.81125,2707.53,2217.761667,
856.6013871,1929.965,-2676.41875,5818.624286,2254.645714,2964.19,2491.341667,
818.6589121,2067.103333,-2625.757143,5818.624286,2254.645714,3135.49,2805.041667,
818.6589121,2067.103333,-2625.757143,5780.33625,2239.81125,3224.36,3000,
731.1967382,1929.965,-2377.338889,5463.606667,2117.084444,3285.14,3000,
731.1967382,1929.965,-2377.338889,5463.606667,2117.084444,3231.74,3000,
731.1967382,1929.965,-2377.338889,5780.33625,2239.81125,3258.99,3000,
731.1967382,2067.103333,-2377.338889,5780.33625,2239.81125,3326.77,3000,
818.6589121,2067.103333,-2625.757143,5780.33625,2239.81125,3308.34,3000,
818.6589121,2067.103333,-2625.757143,5818.624286,2254.645714,3244,3000,
856.6013871,2067.103333,-2676.41875,5818.624286,2254.645714,3173.47,3000,
856.6013871,2067.103333,-2676.41875,5818.624286,2254.645714,3054.1,3000,
856.6013871,2067.103333,-2676.41875,5818.624286,2254.645714,3023.94,3000,
856.6013871,2067.103333,-2676.41875,5818.624286,2254.645714,2984.15,3000,
856.6013871,1929.965,-2676.41875,5780.33625,2239.81125,2954.02,3000,
818.6589121,1929.965,-2625.757143,5463.606667,2117.084444,2825.91,2888.741667,
818.6589121,1563.831429,-2625.757143,5463.606667,2117.084444,2830.76,2506.541667,
734.4004865,1580.091429,-2394.844444,5481.256667,2123.921111,2813.86,2090.081667,
734.4004865,1580.091429,-2394.844444,5481.256667,2123.921111,2734.32,1983.711667,
734.4004865,1580.091429,-2394.844444,5481.256667,2123.921111,2617.6,1865.171667,
734.4004865,1580.091429,-2394.844444,5481.256667,2123.921111,2555.48,1828.821667,
734.4004865,1580.091429,-2394.844444,5481.256667,2123.921111,2550.95,1778.101667,
821.7908758,1580.091429,-2638.98,5797.28875,2246.37875,2577,1820.741667,
859.7033551,1939.35625,-2688.25125,5797.28875,2246.37875,2714.11,2109.031667,
859.7033551,1939.35625,-2688.25125,5797.28875,2246.37875,2697.58,2202.801667,
859.7033551,1939.35625,-2688.25125,5833.882857,2260.558571,2968.4,2462.951667,
821.7908758,2074.276667,-2638.98,5833.882857,2260.558571,3149.15,2761.251667,
821.7908758,2074.276667,-2638.98,5797.28875,2246.37875,3242.91,3000,
734.4004865,1939.35625,-2394.844444,5481.256667,2123.921111,3307.05,3000,
734.4004865,1939.35625,-2394.844444,5481.256667,2123.921111,3250.7,3000,
734.4004865,1939.35625,-2394.844444,5797.28875,2246.37875,3279.46,3000,
734.4004865,2074.276667,-2394.844444,5797.28875,2246.37875,3366.07,3000,
821.7908758,2074.276667,-2638.98,5797.28875,2246.37875,3331.53,3000,
821.7908758,2074.276667,-2638.98,5833.882857,2260.558571,3263.64,3000,
859.7033551,2074.276667,-2688.25125,5833.882857,2260.558571,3189.22,3000,
859.7033551,2074.276667,-2688.25125,5833.882857,2260.558571,3063.27,3000,
859.7033551,2074.276667,-2688.25125,5833.882857,2260.558571,3031.44,3000,
859.7033551,2074.276667,-2688.25125,5833.882857,2260.558571,2989.45,3000,
859.7033551,1939.35625,-2688.25125,5797.28875,2246.37875,2957.66,3000,
821.7908758,1939.35625,-2638.98,5481.256667,2123.921111,2822.49,2840.831667,
821.7908758,1580.091429,-2638.98,5481.256667,2123.921111,2827.61,2477.391667,
733.3027854,1590.938571,-2402.895556,5475.277778,2121.602222,2811.86,2073.65,
733.3027854,1590.938571,-2402.895556,5475.277778,2121.602222,2735.23,1970.52,
733.3027854,1590.938571,-2402.895556,5475.277778,2121.602222,2622.79,1855.59,
733.3027854,1590.938571,-2402.895556,5475.277778,2121.602222,2563.07,1820.35,
733.3027854,1590.938571,-2402.895556,5475.277778,2121.602222,2563.07,1771.19,
